Date,Close/Last,Volume,Open,High,Low
12/02/2022,$105.05,7916878,$102.02,$105.54,$101.82
12/01/2022,$103.37,7452313,$102.33,$103.56,$101.95
11/30/2022,$102.2,15000770,$99.05,$102.56,$98.52
11/29/2022,$98.66,4423921,$98.96,$99.33,$98.2
11/28/2022,$98.66,5257862,$98.99,$100.16,$98.56
11/25/2022,$99.56,2320020,$99.64,$99.88,$98.52
11/23/2022,$99.52,5944870,$98.49,$100.08,$98.27
11/22/2022,$98.43,5399030,$98.5,$98.73,$97.52
11/21/2022,$98.32,4499170,$96.99,$98.485,$96.7
11/18/2022,$97.95,5964815,$97.75,$98.35,$97.13
11/17/2022,$96.97,5249906,$95.21,$97.01,$95.1
11/16/2022,$97.07,5348881,$96.52,$97.96,$96.26
11/15/2022,$97.83,6409950,$98.91,$99.53,$97.29
11/14/2022,$97.42,8521098,$97.13,$98.56,$96.685
11/11/2022,$97.38,8294396,$96.76,$98.67,$96.57
11/10/2022,$96.26,10408390,$93.89,$96.42,$93.33
11/09/2022,$91.63,6271203,$91.605,$92.595,$91.34
11/08/2022,$92.75,9675544,$90.92,$93.7771,$90.92
11/07/2022,$90.45,10190200,$91.67,$92.36,$89.28
11/04/2022,$91.86,20194310,$91.98,$93.6,$90.52
11/03/2022,$84.68,8855106,$84.07,$85.47,$82.97
11/02/2022,$84.58,7661699,$87.27,$88.58,$84.53
11/01/2022,$87.1,6219632,$88.06,$88.88,$86.58
10/31/2022,$86.59,7401123,$86.6,$87.57,$85.95
10/28/2022,$87.1,8284918,$85.17,$87.79,$84.31
10/27/2022,$85.28,9524568,$86.13,$86.4,$84.081
10/26/2022,$85.89,9990898,$85.61,$88.23,$85.48
10/25/2022,$85.21,10674030,$84.1,$86,$84.1
10/24/2022,$83.76,16499330,$86.9,$87.51,$82.43
10/21/2022,$88.61,9088750,$87,$88.9694,$86.56
10/20/2022,$86.79,4540684,$87.33,$88.23,$86.47
10/19/2022,$87.52,6473381,$88.385,$89.1316,$87.01
10/18/2022,$88.96,5484433,$90.11,$90.465,$88.075
10/17/2022,$88.9,6255283,$87.9,$89.22,$87.81
10/14/2022,$86.37,6316222,$90.01,$90.7,$86.24
10/13/2022,$89.37,7616558,$85.09,$89.97,$84.71
10/12/2022,$86.87,5261904,$87,$88.055,$86.41
10/11/2022,$86.21,5531265,$86.71,$87.2,$85.64
10/10/2022,$87.06,5092424,$87.01,$87.57,$86.13
10/07/2022,$87.03,6606378,$88.54,$88.9,$86.3
10/06/2022,$89.35,6893765,$90.19,$90.9,$89.26
10/05/2022,$90.12,7980791,$87.73,$90.64,$87.55
10/04/2022,$88.51,5982360,$87.09,$88.95,$86.86
10/03/2022,$85.62,6739878,$84.75,$86.22,$83.8
09/30/2022,$84.26,7737511,$86.565,$86.7,$84.15
09/29/2022,$86.57,6881455,$86.81,$87.34,$85.61
09/28/2022,$87.11,7850820,$84.68,$87.48,$84.25
09/27/2022,$84.28,8628753,$85.97,$86.5,$83.17
09/26/2022,$84.81,7583548,$84.31,$86.025,$84.28
09/23/2022,$84.17,7153192,$83.9,$84.44,$83.225
09/22/2022,$84.7,9953048,$88,$88.02,$84.38
09/21/2022,$88.6,8806754,$91.29,$91.52,$88.57
09/20/2022,$90.79,6560039,$91.66,$92.02,$90.095
09/19/2022,$92.14,6286956,$90.885,$92.55,$90.83
09/16/2022,$91.31,11987640,$91.15,$92.0962,$90.65
09/15/2022,$92.22,11052400,$92.09,$93.15,$91.73
09/14/2022,$92.7,24320600,$89.565,$93.48,$89.51
09/13/2022,$87.84,16033630,$86.72,$89.3,$86.07
09/12/2022,$89.07,9078938,$89.77,$90.38,$88.54
09/09/2022,$88.69,7096165,$89.5,$89.95,$88.64
09/08/2022,$89.46,7721071,$87.3,$89.48,$87.16
09/07/2022,$88.31,9946770,$85.11,$88.617,$84.92
09/06/2022,$84.52,11062810,$83.07,$84.62,$81.67
09/02/2022,$82.94,10336790,$85.47,$85.77,$82.5524
09/01/2022,$85.4,7556805,$83.7,$85.465,$82.93
08/31/2022,$84.07,6570110,$83.87,$84.76,$83.65
08/30/2022,$83.41,6812530,$84.18,$85.02,$82.69
08/29/2022,$84.12,5035514,$83.2,$84.66,$83.04
08/26/2022,$84.06,6674910,$87.51,$87.99,$83.96
08/25/2022,$87.39,4236346,$86.35,$87.63,$86.3
08/24/2022,$86.05,4385983,$84.76,$86.475,$84.48
08/23/2022,$84.69,4560350,$84.85,$85.61,$84.58
08/22/2022,$84.95,5915201,$85.382,$85.55,$84.34
08/19/2022,$86.92,4597726,$87.77,$87.97,$86.55
08/18/2022,$88.55,3428312,$88.03,$88.78,$87.6846
08/17/2022,$88.35,3831252,$88.4,$89,$87.86
08/16/2022,$89.4,4580845,$88.78,$89.93,$88.54
08/15/2022,$89.16,5600991,$88.11,$89.25,$88.01
08/12/2022,$88.31,5153974,$87.305,$88.395,$87.19
08/11/2022,$87.27,5595696,$86.94,$87.55,$86.5
08/10/2022,$86.49,5072324,$86.5,$86.9,$86.09
08/09/2022,$84.84,3498395,$85.74,$85.83,$84.46
08/08/2022,$85.72,4885102,$86.15,$86.86,$85.42
08/05/2022,$85.73,4835081,$85.76,$86.15,$84.92
08/04/2022,$86.88,7086693,$87.21,$88.275,$86.57
08/03/2022,$87.27,12915670,$86.01,$87.965,$83.91
08/02/2022,$83.71,7254737,$84.7,$85.1439,$83.62
08/01/2022,$84.91,7313697,$84.19,$85.59,$84.03
07/29/2022,$84.78,5802700,$84.6,$84.98,$83.93
07/28/2022,$84.67,5594602,$83.19,$84.89,$82.82
07/27/2022,$82.96,6372575,$81.23,$83.405,$81.1212
07/26/2022,$80.31,6587009,$81.215,$81.42,$80
07/25/2022,$81.5,5861107,$83.59,$83.7,$81.035
07/22/2022,$83.59,6283617,$84.16,$84.43,$82.84
07/21/2022,$83.54,7695295,$82.95,$83.61,$82.6519
07/20/2022,$83.27,6850639,$82.48,$83.469,$81.8865
07/19/2022,$82.55,5949201,$81.11,$82.67,$80.91
07/18/2022,$80.23,6768756,$80.03,$81.665,$80
07/15/2022,$79.62,5584130,$78.615,$80.21,$78.615
07/14/2022,$78.2,4504473,$77.09,$78.37,$76.81
07/13/2022,$77.92,3897457,$75.986,$78.54,$75.73
07/12/2022,$77.76,5393394,$78.36,$79.44,$77.38
07/11/2022,$77.9,5351589,$78.85,$79.0488,$77.43
07/08/2022,$79.28,3927101,$78.69,$79.63,$78.27
07/07/2022,$79.24,5395567,$78.81,$79.65,$78.37
07/06/2022,$78.86,4652815,$79.83,$80.475,$78.175
07/05/2022,$79.52,8089606,$78.02,$79.55,$77.3604
07/01/2022,$79.26,7539232,$76.73,$79.47,$76.54
06/30/2022,$76.39,6781083,$76.01,$76.88,$74.87
06/29/2022,$76.43,8983863,$76.21,$77.15,$75.64
06/28/2022,$76.34,7210682,$78.39,$79.89,$76.19
06/27/2022,$77.68,6672167,$78,$78.44,$77.265
06/24/2022,$78.11,18011960,$75.66,$78.15,$75.55
06/23/2022,$75.2,6586431,$73.855,$75.36,$73.51
06/22/2022,$73.3,6703754,$72.37,$73.82,$72.22
06/21/2022,$72.96,7872541,$73.06,$73.17,$72.03
06/17/2022,$71.87,9824325,$71.08,$72.44,$70.77
06/16/2022,$70.95,10147030,$72.43,$72.61,$70.35
06/15/2022,$74.19,7682259,$73.25,$75.27,$73.1076
06/14/2022,$72.31,7635554,$72.85,$73.84,$71.53
06/13/2022,$72.36,9282753,$73.09,$74.01,$71.91
06/10/2022,$75.67,8695476,$77.02,$77.79,$75.66
06/09/2022,$78.91,13248100,$77.97,$80.27,$77.73
06/08/2022,$78.47,5178253,$78.9,$79.7698,$78.26
06/07/2022,$79.47,5517101,$78.57,$79.75,$78.26
06/06/2022,$78.98,7239429,$79.7,$81.2999,$78.53
